PING 217.216.135.188 (217.216.135.188) 1024(1052) bytes of data.
1032 bytes from 217.216.135.188: icmp_seq=80 ttl=56 time=59.8 ms
1032 bytes from 217.216.135.188: icmp_seq=81 ttl=56 time=102 ms
1032 bytes from 217.216.135.188: icmp_seq=82 ttl=56 time=67.4 ms
1032 bytes from 217.216.135.188: icmp_seq=83 ttl=56 time=60.7 ms
1032 bytes from 217.216.135.188: icmp_seq=84 ttl=56 time=62.6 ms
1032 bytes from 217.216.135.188: icmp_seq=85 ttl=56 time=64.8 ms
1032 bytes from 217.216.135.188: icmp_seq=86 ttl=56 time=67.7 ms
1032 bytes from 217.216.135.188: icmp_seq=87 ttl=56 time=67.6 ms
1032 bytes from 217.216.135.188: icmp_seq=88 ttl=56 time=58.8 ms
1032 bytes from 217.216.135.188: icmp_seq=89 ttl=56 time=67.5 ms
1032 bytes from 217.216.135.188: icmp_seq=90 ttl=56 time=65.4 ms
1032 bytes from 217.216.135.188: icmp_seq=91 ttl=56 time=64.6 ms
1032 bytes from 217.216.135.188: icmp_seq=92 ttl=56 time=62.6 ms
1032 bytes from 217.216.135.188: icmp_seq=93 ttl=56 time=65.6 ms
1032 bytes from 217.216.135.188: icmp_seq=94 ttl=56 time=62.3 ms
1032 bytes from 217.216.135.188: icmp_seq=95 ttl=56 time=64.0 ms
1032 bytes from 217.216.135.188: icmp_seq=96 ttl=56 time=63.8 ms
1032 bytes from 217.216.135.188: icmp_seq=97 ttl=56 time=63.8 ms
1032 bytes from 217.216.135.188: icmp_seq=98 ttl=56 time=60.4 ms
1032 bytes from 217.216.135.188: icmp_seq=99 ttl=56 time=50.7 ms
1032 bytes from 217.216.135.188: icmp_seq=100 ttl=56 time=62.9 ms

--- 217.216.135.188 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99047ms
rtt min/avg/max/mdev = 50.708/63.237/102.269/6.366 ms
