PING 192.168.1.1 (192.168.1.1) 1024(1052) bytes of data.
1032 bytes from 192.168.1.1: icmp_seq=80 ttl=64 time=14.6 ms
1032 bytes from 192.168.1.1: icmp_seq=81 ttl=64 time=15.3 ms
1032 bytes from 192.168.1.1: icmp_seq=82 ttl=64 time=24.3 ms
1032 bytes from 192.168.1.1: icmp_seq=83 ttl=64 time=7.85 ms
1032 bytes from 192.168.1.1: icmp_seq=84 ttl=64 time=7.92 ms
1032 bytes from 192.168.1.1: icmp_seq=85 ttl=64 time=45.7 ms
1032 bytes from 192.168.1.1: icmp_seq=86 ttl=64 time=22.5 ms
1032 bytes from 192.168.1.1: icmp_seq=87 ttl=64 time=78.6 ms
1032 bytes from 192.168.1.1: icmp_seq=88 ttl=64 time=109 ms
1032 bytes from 192.168.1.1: icmp_seq=89 ttl=64 time=19.2 ms
1032 bytes from 192.168.1.1: icmp_seq=90 ttl=64 time=165 ms
1032 bytes from 192.168.1.1: icmp_seq=91 ttl=64 time=22.9 ms
1032 bytes from 192.168.1.1: icmp_seq=92 ttl=64 time=47.6 ms
1032 bytes from 192.168.1.1: icmp_seq=93 ttl=64 time=23.1 ms
1032 bytes from 192.168.1.1: icmp_seq=94 ttl=64 time=22.4 ms
1032 bytes from 192.168.1.1: icmp_seq=95 ttl=64 time=23.3 ms
1032 bytes from 192.168.1.1: icmp_seq=96 ttl=64 time=23.5 ms
1032 bytes from 192.168.1.1: icmp_seq=97 ttl=64 time=27.4 ms
1032 bytes from 192.168.1.1: icmp_seq=98 ttl=64 time=22.5 ms
1032 bytes from 192.168.1.1: icmp_seq=99 ttl=64 time=64.0 ms
1032 bytes from 192.168.1.1: icmp_seq=100 ttl=64 time=37.9 ms

--- 192.168.1.1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99152ms
rtt min/avg/max/mdev = 6.456/36.279/165.457/22.378 ms
