PING 217.216.152.97 (217.216.152.97) 16(44) bytes of data.
24 bytes from 217.216.152.97: icmp_seq=67 ttl=56 time=44.0 ms
24 bytes from 217.216.152.97: icmp_seq=68 ttl=56 time=41.8 ms
24 bytes from 217.216.152.97: icmp_seq=69 ttl=56 time=40.5 ms
24 bytes from 217.216.152.97: icmp_seq=70 ttl=56 time=38.9 ms
24 bytes from 217.216.152.97: icmp_seq=71 ttl=56 time=41.6 ms
24 bytes from 217.216.152.97: icmp_seq=72 ttl=56 time=48.9 ms
24 bytes from 217.216.152.97: icmp_seq=73 ttl=56 time=39.8 ms
24 bytes from 217.216.152.97: icmp_seq=74 ttl=56 time=42.4 ms
24 bytes from 217.216.152.97: icmp_seq=75 ttl=56 time=38.9 ms
24 bytes from 217.216.152.97: icmp_seq=76 ttl=56 time=49.0 ms
24 bytes from 217.216.152.97: icmp_seq=77 ttl=56 time=38.5 ms
24 bytes from 217.216.152.97: icmp_seq=78 ttl=56 time=38.9 ms
24 bytes from 217.216.152.97: icmp_seq=79 ttl=56 time=39.9 ms
24 bytes from 217.216.152.97: icmp_seq=80 ttl=56 time=40.5 ms
24 bytes from 217.216.152.97: icmp_seq=81 ttl=56 time=39.9 ms
24 bytes from 217.216.152.97: icmp_seq=82 ttl=56 time=41.6 ms
24 bytes from 217.216.152.97: icmp_seq=83 ttl=56 time=38.8 ms
24 bytes from 217.216.152.97: icmp_seq=84 ttl=56 time=45.9 ms
24 bytes from 217.216.152.97: icmp_seq=85 ttl=56 time=51.0 ms
24 bytes from 217.216.152.97: icmp_seq=86 ttl=56 time=40.5 ms
24 bytes from 217.216.152.97: icmp_seq=87 ttl=56 time=39.0 ms
24 bytes from 217.216.152.97: icmp_seq=88 ttl=56 time=40.1 ms
24 bytes from 217.216.152.97: icmp_seq=89 ttl=56 time=39.6 ms
24 bytes from 217.216.152.97: icmp_seq=90 ttl=56 time=40.2 ms
24 bytes from 217.216.152.97: icmp_seq=91 ttl=56 time=40.2 ms
24 bytes from 217.216.152.97: icmp_seq=92 ttl=56 time=40.3 ms
24 bytes from 217.216.152.97: icmp_seq=93 ttl=56 time=39.9 ms
24 bytes from 217.216.152.97: icmp_seq=94 ttl=56 time=46.9 ms
24 bytes from 217.216.152.97: icmp_seq=95 ttl=56 time=41.5 ms
24 bytes from 217.216.152.97: icmp_seq=96 ttl=56 time=40.3 ms
24 bytes from 217.216.152.97: icmp_seq=97 ttl=56 time=42.1 ms
24 bytes from 217.216.152.97: icmp_seq=98 ttl=56 time=40.2 ms
24 bytes from 217.216.152.97: icmp_seq=99 ttl=56 time=39.4 ms
24 bytes from 217.216.152.97: icmp_seq=100 ttl=56 time=42.0 ms

--- 217.216.152.97 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99114ms
rtt min/avg/max/mdev = 35.751/41.056/55.368/2.910 ms
