PING 217.216.152.97 (217.216.152.97) 65507(65535) bytes of data.
65515 bytes from 217.216.152.97: icmp_seq=42 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=43 ttl=56 time=112 ms
65515 bytes from 217.216.152.97: icmp_seq=44 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=45 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=46 ttl=56 time=101 ms
65515 bytes from 217.216.152.97: icmp_seq=47 ttl=56 time=99.9 ms
65515 bytes from 217.216.152.97: icmp_seq=48 ttl=56 time=107 ms
65515 bytes from 217.216.152.97: icmp_seq=49 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=50 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=51 ttl=56 time=107 ms
65515 bytes from 217.216.152.97: icmp_seq=52 ttl=56 time=107 ms
65515 bytes from 217.216.152.97: icmp_seq=53 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=54 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=55 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=56 ttl=56 time=100 ms
65515 bytes from 217.216.152.97: icmp_seq=57 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=58 ttl=56 time=105 ms
65515 bytes from 217.216.152.97: icmp_seq=59 ttl=56 time=105 ms
65515 bytes from 217.216.152.97: icmp_seq=60 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=61 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=62 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=63 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=64 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=65 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=66 ttl=56 time=105 ms
65515 bytes from 217.216.152.97: icmp_seq=67 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=68 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=69 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=70 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=71 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=72 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=73 ttl=56 time=98.7 ms
65515 bytes from 217.216.152.97: icmp_seq=74 ttl=56 time=105 ms
65515 bytes from 217.216.152.97: icmp_seq=75 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=76 ttl=56 time=103 ms
65515 bytes from 217.216.152.97: icmp_seq=77 ttl=56 time=114 ms
65515 bytes from 217.216.152.97: icmp_seq=78 ttl=56 time=108 ms
65515 bytes from 217.216.152.97: icmp_seq=79 ttl=56 time=111 ms
65515 bytes from 217.216.152.97: icmp_seq=80 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=81 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=82 ttl=56 time=107 ms
65515 bytes from 217.216.152.97: icmp_seq=83 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=84 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=85 ttl=56 time=108 ms
65515 bytes from 217.216.152.97: icmp_seq=86 ttl=56 time=106 ms
65515 bytes from 217.216.152.97: icmp_seq=87 ttl=56 time=105 ms
65515 bytes from 217.216.152.97: icmp_seq=88 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=89 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=90 ttl=56 time=96.4 ms
65515 bytes from 217.216.152.97: icmp_seq=91 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=92 ttl=56 time=104 ms
65515 bytes from 217.216.152.97: icmp_seq=93 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=94 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=95 ttl=56 time=102 ms
65515 bytes from 217.216.152.97: icmp_seq=96 ttl=56 time=101 ms
65515 bytes from 217.216.152.97: icmp_seq=97 ttl=56 time=109 ms
65515 bytes from 217.216.152.97: icmp_seq=98 ttl=56 time=108 ms
65515 bytes from 217.216.152.97: icmp_seq=99 ttl=56 time=99.3 ms
65515 bytes from 217.216.152.97: icmp_seq=100 ttl=56 time=103 ms

--- 217.216.152.97 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99129ms
rtt min/avg/max/mdev = 96.426/104.125/113.943/3.461 ms
