PING 192.168.1.111 (192.168.1.111) 65507(65535) bytes of data.
65515 bytes from 192.168.1.111: icmp_seq=78 ttl=64 time=45.3 ms
65515 bytes from 192.168.1.111: icmp_seq=79 ttl=64 time=48.6 ms
65515 bytes from 192.168.1.111: icmp_seq=80 ttl=64 time=64.3 ms
65515 bytes from 192.168.1.111: icmp_seq=82 ttl=64 time=34.1 ms
65515 bytes from 192.168.1.111: icmp_seq=83 ttl=64 time=30.1 ms
65515 bytes from 192.168.1.111: icmp_seq=85 ttl=64 time=26.8 ms
65515 bytes from 192.168.1.111: icmp_seq=86 ttl=64 time=36.7 ms
65515 bytes from 192.168.1.111: icmp_seq=87 ttl=64 time=43.6 ms
65515 bytes from 192.168.1.111: icmp_seq=88 ttl=64 time=32.6 ms
65515 bytes from 192.168.1.111: icmp_seq=89 ttl=64 time=40.5 ms
65515 bytes from 192.168.1.111: icmp_seq=91 ttl=64 time=43.9 ms
65515 bytes from 192.168.1.111: icmp_seq=92 ttl=64 time=45.4 ms
65515 bytes from 192.168.1.111: icmp_seq=93 ttl=64 time=65.8 ms
65515 bytes from 192.168.1.111: icmp_seq=95 ttl=64 time=322 ms
65515 bytes from 192.168.1.111: icmp_seq=96 ttl=64 time=180 ms
65515 bytes from 192.168.1.111: icmp_seq=98 ttl=64 time=42.6 ms
65515 bytes from 192.168.1.111: icmp_seq=99 ttl=64 time=43.9 ms
65515 bytes from 192.168.1.111: icmp_seq=100 ttl=64 time=32.1 ms

--- 192.168.1.111 ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99217ms
rtt min/avg/max/mdev = 22.882/45.203/322.009/42.935 ms
