PING 192.168.1.111 (192.168.1.111) 16(44) bytes of data.
24 bytes from 192.168.1.111: icmp_seq=85 ttl=64 time=1.33 ms
24 bytes from 192.168.1.111: icmp_seq=86 ttl=64 time=1.67 ms
24 bytes from 192.168.1.111: icmp_seq=87 ttl=64 time=1.91 ms
24 bytes from 192.168.1.111: icmp_seq=88 ttl=64 time=1.56 ms
24 bytes from 192.168.1.111: icmp_seq=89 ttl=64 time=1.32 ms
24 bytes from 192.168.1.111: icmp_seq=90 ttl=64 time=14.6 ms
24 bytes from 192.168.1.111: icmp_seq=91 ttl=64 time=3.45 ms
24 bytes from 192.168.1.111: icmp_seq=92 ttl=64 time=1.18 ms
24 bytes from 192.168.1.111: icmp_seq=93 ttl=64 time=1.17 ms
24 bytes from 192.168.1.111: icmp_seq=94 ttl=64 time=1.41 ms
24 bytes from 192.168.1.111: icmp_seq=95 ttl=64 time=1.32 ms
24 bytes from 192.168.1.111: icmp_seq=96 ttl=64 time=1.28 ms
24 bytes from 192.168.1.111: icmp_seq=97 ttl=64 time=4.51 ms
24 bytes from 192.168.1.111: icmp_seq=98 ttl=64 time=0.875 ms
24 bytes from 192.168.1.111: icmp_seq=99 ttl=64 time=2.28 ms
24 bytes from 192.168.1.111: icmp_seq=100 ttl=64 time=1.15 ms

--- 192.168.1.111 ping statistics ---
100 packets transmitted, 97 received, 3% packet loss, time 99213ms
rtt min/avg/max/mdev = 0.865/18.557/311.589/56.999 ms
