PING 81.34.131.53 (81.34.131.53) 16(44) bytes of data.
24 bytes from 81.34.131.53: icmp_seq=58 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=59 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=60 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=61 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=62 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=63 ttl=52 time=27.4 ms
24 bytes from 81.34.131.53: icmp_seq=64 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=65 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=66 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=67 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=68 ttl=52 time=27.9 ms
24 bytes from 81.34.131.53: icmp_seq=69 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=70 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=71 ttl=52 time=28.2 ms
24 bytes from 81.34.131.53: icmp_seq=72 ttl=52 time=28.2 ms
24 bytes from 81.34.131.53: icmp_seq=73 ttl=52 time=27.2 ms
24 bytes from 81.34.131.53: icmp_seq=74 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=75 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=76 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=77 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=78 ttl=52 time=27.9 ms
24 bytes from 81.34.131.53: icmp_seq=79 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=80 ttl=52 time=27.4 ms
24 bytes from 81.34.131.53: icmp_seq=81 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=82 ttl=52 time=28.6 ms
24 bytes from 81.34.131.53: icmp_seq=83 ttl=52 time=27.3 ms
24 bytes from 81.34.131.53: icmp_seq=84 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=85 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=86 ttl=52 time=28.1 ms
24 bytes from 81.34.131.53: icmp_seq=87 ttl=52 time=27.0 ms
24 bytes from 81.34.131.53: icmp_seq=88 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=89 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=90 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=91 ttl=52 time=27.2 ms
24 bytes from 81.34.131.53: icmp_seq=92 ttl=52 time=27.5 ms
24 bytes from 81.34.131.53: icmp_seq=93 ttl=52 time=27.6 ms
24 bytes from 81.34.131.53: icmp_seq=94 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=95 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=96 ttl=52 time=27.5 ms
24 bytes from 81.34.131.53: icmp_seq=97 ttl=52 time=27.9 ms
24 bytes from 81.34.131.53: icmp_seq=98 ttl=52 time=27.8 ms
24 bytes from 81.34.131.53: icmp_seq=99 ttl=52 time=27.7 ms
24 bytes from 81.34.131.53: icmp_seq=100 ttl=52 time=27.7 ms

--- 81.34.131.53 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99174ms
rtt min/avg/max/mdev = 26.985/27.731/29.622/0.325 ms
